# ----------------------------------------
# PROD: Actions on Google (Console Only)
# Akan Translate 
# Active users 
# 2019-07-08T04:00:00.000Z - 2019-08-06T04:00:00.000Z 
# ----------------------------------------

Total,Active Users,Return Users
"Jul 17, 2019",3,0
"Jul 18, 2019",5,0
"Jul 19, 2019",7,0
"Jul 20, 2019",7,0
"Jul 21, 2019",8,0
"Jul 22, 2019",9,0
"Jul 23, 2019",10,0
"Jul 24, 2019",10,0
"Jul 25, 2019",10,0
"Jul 26, 2019",10,0
"Jul 27, 2019",10,0
"Jul 28, 2019",10,0
"Jul 29, 2019",11,0
"Jul 30, 2019",11,0
"Jul 31, 2019",11,0
"Aug 1, 2019",11,0
"Aug 2, 2019",12,0
"Aug 3, 2019",12,0
"Aug 4, 2019",12,0
"Aug 5, 2019",12,0
