# ----------------------------------------
# PROD: Actions on Google (Console Only)
# ananse-stories 
# Active users 
# 2019-06-27T04:00:00.000Z - 2019-07-26T04:00:00.000Z 
# ----------------------------------------

Total,Total
"Jul 8, 2019",2
"Jul 9, 2019",40
"Jul 10, 2019",119
"Jul 11, 2019",28
"Jul 12, 2019",6
"Jul 13, 2019",26
"Jul 14, 2019",39
"Jul 15, 2019",80
"Jul 16, 2019",42
"Jul 17, 2019",69
"Jul 18, 2019",83
"Jul 19, 2019",91
"Jul 20, 2019",53
"Jul 21, 2019",47
"Jul 22, 2019",102
"Jul 23, 2019",29
"Jul 24, 2019",45
"Jul 25, 2019",14
