# ----------------------------------------
# PROD: Actions on Google (Console Only)
# African Proverbs 
# Messages 
# 2019-07-08T04:00:00.000Z - 2019-08-06T04:00:00.000Z 
# ----------------------------------------

Date,Messages
"Jul 11, 2019",3
"Jul 13, 2019",2
"Jul 15, 2019",18
"Jul 16, 2019",7
"Jul 17, 2019",11
"Jul 18, 2019",5
"Jul 19, 2019",1
"Jul 20, 2019",2
"Jul 21, 2019",2
"Jul 22, 2019",13
"Jul 23, 2019",2
"Jul 24, 2019",3
"Jul 25, 2019",4
"Jul 26, 2019",9
"Jul 27, 2019",29
"Jul 28, 2019",11
"Jul 29, 2019",20
"Jul 30, 2019",21
"Jul 31, 2019",19
"Aug 1, 2019",24
"Aug 2, 2019",30
"Aug 3, 2019",15
"Aug 4, 2019",38
"Aug 5, 2019",19
