# ----------------------------------------
# PROD: Actions on Google (Console Only)
# African Proverbs 
# Average conversation length 
# 2019-07-08T04:00:00.000Z - 2019-08-06T04:00:00.000Z 
# ----------------------------------------

Date,Conversation Length
"Jul 11, 2019",4.666666666666667
"Jul 13, 2019",6.5
"Jul 15, 2019",0.6111111111111112
"Jul 16, 2019",3.5714285714285716
"Jul 17, 2019",0
"Jul 18, 2019",0
"Jul 19, 2019",0
"Jul 20, 2019",0
"Jul 21, 2019",0
"Jul 22, 2019",7.384615384615385
"Jul 23, 2019",0
"Jul 24, 2019",8
"Jul 25, 2019",2.75
"Jul 26, 2019",1
"Jul 27, 2019",0.7931034482758621
"Jul 28, 2019",0.9090909090909091
"Jul 29, 2019",0
"Jul 30, 2019",0.7619047619047619
"Jul 31, 2019",0.5263157894736842
"Aug 1, 2019",0.375
"Aug 2, 2019",0.4
"Aug 3, 2019",3.3333333333333335
"Aug 4, 2019",0.5526315789473685
"Aug 5, 2019",0
