# ----------------------------------------
# PROD: Actions on Google (Console Only)
# African Proverbs 
# Active users 
# 2019-07-08T04:00:00.000Z - 2019-08-06T04:00:00.000Z 
# ----------------------------------------

Total,Total
"Jul 11, 2019",3
"Jul 12, 2019",0
"Jul 13, 2019",2
"Jul 14, 2019",0
"Jul 15, 2019",6
"Jul 16, 2019",6
"Jul 17, 2019",5
"Jul 18, 2019",4
"Jul 19, 2019",1
"Jul 20, 2019",2
"Jul 21, 2019",1
"Jul 22, 2019",4
"Jul 23, 2019",2
"Jul 24, 2019",3
"Jul 25, 2019",3
"Jul 26, 2019",3
"Jul 27, 2019",28
"Jul 28, 2019",10
"Jul 29, 2019",16
"Jul 30, 2019",19
"Jul 31, 2019",16
"Aug 1, 2019",23
"Aug 2, 2019",24
"Aug 3, 2019",14
"Aug 4, 2019",22
"Aug 5, 2019",18
