# ----------------------------------------
# PROD: Actions on Google (Console Only)
# Ghana Trivia 
# Active users 
# 2019-07-08T04:00:00.000Z - 2019-08-06T04:00:00.000Z 
# ----------------------------------------

Total,Active Users,Return Users
"Jul 8, 2019",33,0
"Jul 9, 2019",33,0
"Jul 10, 2019",33,0
"Jul 11, 2019",33,0
"Jul 12, 2019",33,0
"Jul 13, 2019",33,0
"Jul 14, 2019",33,0
"Jul 15, 2019",33,0
"Jul 16, 2019",35,1
"Jul 17, 2019",18,2
"Jul 18, 2019",14,2
"Jul 19, 2019",14,3
"Jul 20, 2019",13,3
"Jul 21, 2019",11,3
"Jul 22, 2019",12,3
"Jul 23, 2019",13,3
"Jul 24, 2019",13,3
"Jul 25, 2019",14,3
"Jul 26, 2019",16,3
"Jul 27, 2019",18,3
"Jul 28, 2019",18,3
"Jul 29, 2019",18,3
"Jul 30, 2019",18,3
"Jul 31, 2019",18,3
"Aug 1, 2019",18,3
"Aug 2, 2019",18,3
"Aug 3, 2019",18,3
"Aug 4, 2019",18,3
"Aug 5, 2019",18,3
